Page,Name,ASIN,Price,Sponsored,Rating,Total Reviews
2,"PUR Gum | Sugar Free Chewing Gum | 100% Xylitol | Vegan, Aspartame Free, Gluten Free & Diabetic Friendly | Natural Bubblegum Flavored Gum, 9 Pieces (Pack of 12)",B01CU5ZJX0,$14.49 ,No,4.4,"-2,521"
2,"ICE BREAKERS ICE CUBES MINT CRYSTAL Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Bottles (6 Count, 40 Pieces)",B0B3551FZC,$25.37 ,No,4.8,-31
2,"(10 Pack) 5 GUM React Mint Gum Sugar Free Chewing Gum Bulk, 15 Stick Box",B0037LIGOG,$28.25 ,No,4.7,"-1,253"
2,"Extra Spearmint Sugar-Free Gum, 12 Piece Pack, 15 Count",B07FQX65YP,$20.00 ,No,4.2,-31
2,"WRIGLEY'S Spearmint Chewing Gum, 15 Count (Pack of 10)",B0722LDCXP,$11.90 ,No,4.8,"-1,445"
2,"Orbit, Peppermint Sugarfree Gum, 42 ct",B071J7NF54,$3.48 ,No,4.8,-565
2,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Spearmint, in a recyclable 90% Paperboard Bottle, 80 Piece",B09T21N7TB,$4.98 ,No,4.6,-204
2,"5 Gum Strawberry Flood Sugarfree Gum, 15Piece (Pack of 10)",B00YQFRJKY,$14.90 ,No,4.8,"-5,672"
2,"Dentyne Ice Peppermint Sugar Free Gum, 6 Bottles of 60 Pieces (360 Total Pieces)",B00IO2D5QW,$26.61 ,No,4.7,-628
2,"5 Gum Peppermint Cobalt Sugarfree Gum, 15 Count Single Pack",B01GFPSAQ4,N/S,No,4.7,-306
2,"Trident Vibes Spearmint Rush Sugar Free Gum, 4 Bottles of 40 Pieces (160 Total Pieces)",B07C1Y972K,$14.00 ,No,4.8,"-1,438"
2,"(20 Pack) ORBIT Gum Peppermint Sugar Free Chewing Gum Bulk Pack, 14 Piece",B00JO90HI8,$13.97 ,No,4.8,"-4,295"
